id,place_id,source_place_id,standard_name,province,city,county,place_type,origin,meaning,history,old_names,evidence_url,evidence_title,evidence_quote,confidence,source,source_type,raw_hash,fetched_at,updated_at
d4190a33d4b9eca2e7590598f89a69044111bbcb,36d01a4f81e7e5b2d57dc048a4689c402732a73d,e6b41c0f5408d0a15272870304c6ea7d,武汉市,湖北省,武汉市,,地级行政区,“武汉”为武昌、汉口、汉阳三镇的合称。,武汉三镇在历史上形成的时序为江北（汉阳）先于江南（武昌），而汉口在明代以前，不过是毗连汉阳的一个水曲荒洲，因此，在明代以前，所谓“武汉”，乃是武昌、汉阳两地的合称。元代武昌、汉阳均属湖广行省，鄂（武昌）汉（汉阳）并称，是为双城。1926年秋，国民革命军攻克武汉。次年初，国民政府将汉口市（辖汉阳县）与武昌合并，划为京兆区，作为首都，并建立统一的武汉市政府，此时，武汉才取得了作为政区、市区的称谓。此后，武昌、汉阳、汉口时分时合，直到1949年解放前夕，汉口作为直辖市，武昌作为省辖市，汉阳作为县而分治。解放后，政务院将汉口、武昌、汉阳（县府所在地及邻近地区）合并为武汉市（原汉阳县治所迁至蔡甸，保留县的建制），武汉市人民政府设在汉口。至此，武汉三镇合三为一。,北郊的盘龙城遗址作为建城开端，距今有3500多年历史。商代属中原王朝控制。周代先后属鄂国、郧国和楚国，秦属南郡。汉武帝元狩元年（前122），析南郡、衡山郡置江夏郡。三国时吴黄武二年（223），建夏口城，初为吴属武昌郡沙羡县治。在现主城区内开始形成城堡，成为地区政治中心。晋代为荆州、沙羡县、江夏郡等治所，先后为南朝郢州、隋唐鄂州、宋鄂州路、元湖广行中书省及武昌路、明湖广承宣布政司、清湖广总督及湖北藩臬各司署、明清武昌府及各朝江夏县的治所，明楚王府所在地。汉阳于东汉末建却月城，至两晋南北朝时期先后属沙羡县、汝南县、沌阳县，隋初改置汉阳县，遂有“汉阳”之名，自唐迄清，先后为沔州、汉阳军、汉阳府和汉阳县治所。1000多年来，汉阳、武昌长期为郡、州、路、府治所，“武汉”一词即是明代对武昌、汉阳两府城的合称；近600年，武昌更是省级行政中心。今之汉口，原与汉阳相连，是汉阳县属地。即使在明成化年间汉水改道，两地以河为界后，汉口也一直属汉阳管辖，至清光绪二十五年（1899），设立夏口厅，汉口始与汉阳分治。1912年，民国政府改江夏县为武昌县，改夏口厅为夏口县，三镇始以同级建制鼎立。1926年，国民政府设武昌市和汉口特别市，汉阳县隶属于汉口特别市。1927年元旦，国民政府迁汉口办公，合三镇成立武汉市，称“京兆区”。旋又分治。1949年后，重以三镇为武汉市。20世纪50年代，曾为中央直辖市，中共中央中南局、中南行政委员会（初名中南军政委员会）和中共湖北省委、湖北省政府驻地。1954年，改为湖北省辖市。1959年，原孝感专区所属各县划归武汉市。1961年，仍划归孝感专区。1975年，武昌、汉阳两县划入。1983年，黄陂、新洲两县和鄂州市左岭镇划入。1986年，国务院公布为国家历史文化名城。1992年、1995年、1998年，分别撤销汉阳县、武昌县及黄陂县、新洲县建制，成立武汉市蔡甸区，江夏区及黄陂区、新洲区。1994年2月，设为副省级城市。截至2018年12月31日，武汉市辖江岸区、江汉区、硚口区、汉阳区、武昌区、青山区、洪山区、东西湖区、汉南区、蔡甸区、江夏区、黄陂区、新洲区13区。,武汉市,https://dmfw.mca.gov.cn/,中国·国家地名信息库,“武汉”为武昌、汉口、汉阳三镇的合称。,high,中国·国家地名信息库,official,46efe699f4aa547585599d054522fd051024628a6ecac4eb6960f6e6e3c0fb5f,2026-07-10T09:16:29.067505+00:00,2026-07-10T09:16:29.067505+00:00
d8dda8d7d068d3d0690982890630324ba06ef66c,3d3b92924ff15bbce1af29c19d525003a070ab23,35cfdd4bb4a786b450148c5d192bb764,南高村,山东省,东营市,广饶县,行政村,明洪武二年（1369年），高秃儿由山西洪洞县迁来此地立村，取名小高庄。1950年因位于北高以南，故改名南高。,高氏立村，因姓氏取名小高庄，又因处北高以南，后称南高。,1958年，建立大队。1984年，更名为村民委员会。隶属沿革：1958年5月李鹊乡，9月东风二社，10月城关公社；1962年2月城郊区朱家公社，1970年11月城关公社，1984年7月广饶镇，2009年10月广饶街道办事处。,南高村,https://dmfw.mca.gov.cn/,中国·国家地名信息库,明洪武二年（1369年），高秃儿由山西洪洞县迁来此地立村，取名小高庄。1950年因位于北高以南，故改名南高。,high,中国·国家地名信息库,official,0e474dc761525484471fe29d36a7a7cf385c7566815f24dfd94a81f7ebad79b6,2026-07-13T02:49:27.964035+00:00,2026-07-13T02:49:27.964035+00:00
27691a14a744f45b99141efa4addd7e2f0c2f75b,5aa4501640c1aa71edaf8862f7e747fb69590778,e01e67bfcc67a99f748b7245b1b4c74e,北京市,北京市,,,省级行政区,中国人民政治协商会议第一届全体会议决定中华人民共和国定都北平，北平市改名北京市，为直辖市。,古时，京为国家都城的称呼。明永乐元年，燕王朱棣即皇帝位，以北平为北京，其为北京得名之始，简称“京”，后新中国定都于北平，故名北京。,"周武王封黄帝之后于蓟；封召公奭于燕。后燕并蓟，并迁都蓟，设上谷、渔阳2郡。秦置广阳郡、蓟县，共治蓟。西汉广阳郡先后改为燕国、广阳国。东汉建武十三年，广阳郡并入上谷郡，后复置。三国魏广阳郡改为燕国，渔阳郡并入。北魏燕国改为燕郡，复置渔阳郡。北齐于燕郡置东北道行台，废上谷郡。北周改为幽州大都督府。隋开皇三年，废渔阳郡。大业三年，幽州改为涿郡。唐建中二年，析蓟县西境置幽都县。辽会同元年，升幽州为南京，置幽都府。开泰元年，幽都府更名析津府；宋宣和四年，改名燕山府。金贞元元年，海陵王迁都燕京, 改名中都，析津府改名永安府。翌年，永安府改名大兴府。元至元元年，改燕京为中都；四年，为首都；九年，改中都为大都，中都路改名大都路。明洪武元年，改大都路为北平府。永乐元年，以北平为北京，改北平府为顺天府；十九年，改北京为京师。10月，北洋政府废顺天府，置京兆地方。1918年定名京都市。1928年废京兆地方，各县划出，设北平特别市。1930年降为北平市，属河北。1937年日占后改为北京特别市。1945年复为北平市。1949年新中国定都北平，改名北京市。1952-1958年，宛平、昌平、通县、顺义、大兴、良乡、房山、通州市、怀柔、密云、平谷、延庆划入北京市。2015年北京市将密云、延庆县调整为密云区、延庆区。",北京市,https://dmfw.mca.gov.cn/,中国·国家地名信息库,中国人民政治协商会议第一届全体会议决定中华人民共和国定都北平，北平市改名北京市，为直辖市。,high,中国·国家地名信息库,official,f2c0572d7171a2ff94a17f1ce819742d505f2b3962e350a2077986db99c8c397,2026-07-13T03:15:23.810312+00:00,2026-07-13T03:15:23.810312+00:00
